"","date","id","municipality","confirmed"
"1",2020-03-13,"8","Klinë",1
"2",2020-03-13,"26","Viti",1
"3",2020-03-14,"30","Malishevë",1
"4",2020-03-14,"26","Viti",2
"5",2020-03-15,"30","Malishevë",3
"6",2020-03-16,"15","Obiliq",1
"7",2020-03-16,"18","Podujevë",1
"8",2020-03-16,"20","Prizren",1
"9",2020-03-16,"26","Viti",4
"10",2020-03-17,"2","Gjakovë",2
"11",2020-03-17,"18","Podujevë",1
"12",2020-03-17,"19","Prishtinë",1
"13",2020-03-18,"18","Podujevë",1
"14",2020-03-19,"13","Lipjan",1
"15",2020-03-20,"2","Gjakovë",1
"16",2020-03-20,"30","Malishevë",1
"17",2020-03-20,"24","Suharekë",1
"18",2020-03-21,"25","Ferizaj",1
"19",2020-03-21,"2","Gjakovë",1
"20",2020-03-21,"4","Gjilan",2
"21",2020-03-21,"30","Malishevë",1
"22",2020-03-21,"19","Prishtinë",2
"23",2020-03-22,"4","Gjilan",1
"24",2020-03-22,"30","Malishevë",1
"25",2020-03-22,"18","Podujevë",0
"26",2020-03-23,"2","Gjakovë",1
"27",2020-03-23,"4","Gjilan",11
"28",2020-03-23,"30","Malishevë",14
"29",2020-03-23,"19","Prishtinë",1
"30",2020-03-23,"22","Shtime",1
"31",2020-03-24,"4","Gjilan",1
"32",2020-03-24,"27","Vushtrri",1
"33",2020-03-25,"30","Malishevë",4
"34",2020-03-25,"19","Prishtinë",3
"35",2020-03-25,"27","Vushtrri",1
"36",2020-03-26,"30","Malishevë",7
"37",2020-03-26,"17","Pejë",1
"38",2020-03-26,"18","Podujevë",0
"39",2020-03-26,"19","Prishtinë",3
"40",2020-03-26,"27","Vushtrri",4
"41",2020-03-27,"2","Gjakovë",1
"42",2020-03-27,"19","Prishtinë",1
"43",2020-03-28,"18","Podujevë",1
"44",2020-03-28,"19","Prishtinë",2
"45",2020-03-29,"4","Gjilan",1
"46",2020-03-29,"12","Leposaviq",1
"47",2020-03-29,"30","Malishevë",1
"48",2020-03-29,"19","Prishtinë",1
"49",2020-03-30,"9","Fushë Kosovë",3
"50",2020-03-30,"10","Kamenicë",1
"51",2020-03-30,"30","Malishevë",5
"52",2020-03-30,"38","Mitrovicë e Veriut",1
"53",2020-03-30,"19","Prishtinë",2
"54",2020-03-31,"2","Gjakovë",1
"55",2020-03-31,"8","Klinë",0
"56",2020-03-31,"30","Malishevë",1
"57",2020-03-31,"38","Mitrovicë e Veriut",2
"58",2020-03-31,"20","Prizren",1
"59",2020-03-31,"26","Viti",0
"60",2020-03-31,"27","Vushtrri",1
"61",2020-04-01,"2","Gjakovë",1
"62",2020-04-01,"4","Gjilan",0
"63",2020-04-01,"10","Kamenicë",11
"64",2020-04-01,"30","Malishevë",0
"65",2020-04-01,"19","Prishtinë",1
"66",2020-04-01,"22","Shtime",0
"67",2020-04-02,"20","Prizren",1
"68",2020-04-03,"4","Gjilan",1
"69",2020-04-03,"30","Malishevë",0
"70",2020-04-03,"15","Obiliq",0
"71",2020-04-03,"17","Pejë",5
